"Mês","Turno","Turma","Material","VarConsumo_Quimica","VarConsumo_Eletrica","VarTempoProcesso"
"10",0,2,6,3.3786681506214062,14.327801237356379,1.20625
"10",1,0,0,2.9398430241870894,10.676428187805637,1.11
"10",2,1,6,3.2067391304347823,12.880434782608695,0.9875
"10",2,1,6,3.1046927294737587,13.279590836548248,0.86
"10",2,1,6,3.229780531345164,12.613425082308467,0.9725
"10",2,1,0,3.1590009327391444,12.424329250821483,2.00625
"10",0,2,0,3.1131810777567237,12.334344329134867,1.11625
"10",2,1,0,3.40940668824164,13.966622247604544,1.92125
"10",0,2,0,3.2675990162610575,14.726934711777014,1.20875
"10",0,2,0,2.61408862737276,12.1964812652896,1.10875
"10",0,2,0,2.8465816837668845,12.591978443362008,1.2475
"10",0,2,0,2.816764925120282,12.840366884708754,1.49125
"10",0,2,0,2.6689245627773426,12.241466672808514,1.5
"10",0,2,0,2.57239624119029,12.310562439541204,1.325
"10",0,2,0,2.8244061602714696,12.209797779722697,1.165
"10",0,2,0,3.049977094125524,13.15895847714284,0.84125
"10",2,1,6,2.9680151661480134,14.092019466870342,1.09625
"10",2,1,6,3.403660498793242,13.68546211726847,1.54625
"10",2,1,6,3.0402271651680075,12.352106010411736,1.55
"10",2,1,6,2.652985485945251,12.03380488701084,1.5225
"10",0,2,6,3.6932839244750304,13.679818142185407,2.32625
"10",0,2,6,2.657157063832432,11.396167641026203,1.42625
"10",0,2,6,3.012513853904282,12.149948140465254,1.69375
"10",0,2,6,2.691958353991076,11.989267695179212,1.44
"10",0,2,2,3.142668104998202,14.106225014277555,0.77875
"10",0,2,2,2.7743278517358396,11.999631489244093,1.0775
"10",1,3,2,3.380746738641476,13.601121960255087,1.62125
"10",1,3,0,2.981169309626782,12.177403397687764,1.99625
"10",1,3,7,2.7757010582010584,12.079831932773109,1.15375
"10",1,3,7,2.7434673442841153,11.474832241636104,1.28625
"10",1,3,7,3.0242804179305693,12.285136501516682,1.63375
"10",1,3,7,3.0575214341387373,11.937783687130347,1.8175
"10",2,1,0,2.4534790658782772,11.31991947468828,1.60625
"10",2,1,0,2.8846647385392776,12.94739497474466,1.385
"10",2,1,0,3.0496442366334624,13.626633820838764,1.6975
"10",2,1,1,3.062548796075587,13.232093542153104,1.54625
"10",2,1,0,3.202140886273728,13.45191512328478,1.57
