"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"504",504,504,504,2,24,58,14,3611457.0430224
"505",505,505,505,1,28,79,19,4150684.71093511
"506",506,506,506,2,27,148,34,11713815.6385759
"507",507,507,507,1,14,148,34,11187878.9749722
"508",508,508,508,2,6,40,10,1149040.90227377
"509",509,509,509,1,24,82,19,4843508.10419313
"510",510,510,510,1,8,12,3,77412.9005810829
"511",511,511,511,2,7,146,34,11574487.0325638
"512",512,512,512,2,14,7,2,0.542576599265296
"513",513,513,513,2,6,80,19,3973705.81917083
"514",514,514,514,1,23,132,31,9292944.25682331
"515",515,515,515,2,5,123,29,8813646.40060637
"516",516,516,516,2,10,143,33,11623200.8678267
"517",517,517,517,1,12,59,14,3087401.91535397
"518",518,518,518,2,17,150,35,11937587.1706832
"519",519,519,519,2,4,129,30,8870928.10232955
"520",520,520,520,2,5,145,34,10158917.0594129
"521",521,521,521,2,22,10,3,9.03191443199297
"522",522,522,522,2,2,111,26,7776187.98339529
"523",523,523,523,1,29,139,32,10464900.020175
"524",524,524,524,2,5,79,19,4793578.28495092
"525",525,525,525,2,8,104,24,7166717.793196
"526",526,526,526,2,25,96,22,6795702.95721658
"527",527,527,527,1,2,47,11,2408213.81906442
"528",528,528,528,1,29,66,16,4521699.72291019
"529",529,529,529,2,6,34,8,630459.324937542
"530",530,530,530,1,9,56,13,3026353.28664214
"531",531,531,531,1,2,46,11,2899766.12129499
"532",532,532,532,2,9,146,34,10011578.2538964
"533",533,533,533,1,23,73,17,3619683.38829727
"534",534,534,534,1,28,120,28,7917471.42798294
"535",535,535,535,2,15,44,11,1206119.49887695
"536",536,536,536,1,9,63,15,2929915.02913031
"537",537,537,537,2,28,60,14,3742035.1795444
"538",538,538,538,1,4,37,9,1479235.718364
"539",539,539,539,2,26,68,16,4451113.12346793
"540",540,540,540,1,17,17,4,276981.930960063
"541",541,541,541,1,12,76,18,5163619.60196612
"542",542,542,542,2,18,18,5,13979.8849698158
"543",543,543,543,2,21,8,2,3.96957310304442
"544",544,544,544,2,20,103,24,7775067.90122672
"545",545,545,545,1,30,103,24,6479130.95529968
"546",546,546,546,1,18,32,8,1079700.05357831
"547",547,547,547,2,15,10,3,7.77074153148597
"548",548,548,548,2,22,150,35,11786399.8500399
"549",549,549,549,2,5,63,15,2835076.49765814
"550",550,550,550,1,4,46,11,1945196.24755
"551",551,551,551,1,19,148,34,11520031.8176477
"552",552,552,552,2,22,6,2,0.187366770155898
"553",553,553,553,1,16,64,15,3153527.19755835
"554",554,554,554,1,27,85,20,6189419.9371377
"555",555,555,555,1,10,19,5,341620.783644343
"556",556,556,556,2,29,61,14,3468548.00415549
