"","algorithm","replicate","instance","group","result"
"914",1,17,120,28,7814612.01165853
"915",2,29,72,17,3709020.00015483
"916",2,9,51,12,2636217.47434634
"917",2,29,137,32,9943478.67082876
"918",1,25,71,17,3940979.28521509
"919",2,4,37,9,905365.483362936
"920",2,9,38,9,1120565.24308293
"921",2,20,85,20,5770831.63167965
"922",2,9,64,15,3945076.9430186
"923",2,1,126,29,9441866.97815293
"924",2,27,47,11,716146.411495015
"925",2,3,137,32,8755945.17323072
"926",1,11,90,21,6123366.1931322
"927",1,27,122,28,9268973.74596892
"928",1,5,76,18,4759464.1520183
"929",2,27,57,14,2904472.03767734
"930",1,22,116,27,6255708.97025437
"931",2,6,31,8,173001.930990911
"932",1,27,12,3,105576.431422121
"933",1,16,16,4,221212.701823749
"934",1,26,17,4,239197.14151371
"935",2,7,52,12,2797062.4102238
"936",2,25,7,2,3.98441328829781
"937",1,17,71,17,4445636.59353088
"938",2,12,5,2,1.05170270310768e-05
"939",2,27,67,16,3667381.47914643
"940",2,30,41,10,997892.120428454
"941",2,3,104,24,6617964.24280529
"942",1,26,80,19,5255116.71481717
"943",1,15,142,33,11442203.9098948
"944",1,27,37,9,1933449.65965794
"945",2,20,4,1,3.70142878517096
"946",1,5,45,11,1978632.38990281
"947",2,28,26,6,20518.2948348965
"948",1,1,139,32,10226737.1974048
"949",1,26,90,21,6472741.74645805
"950",2,16,38,9,632151.033299322
"951",1,1,92,21,6307516.84614228
"952",1,20,25,6,676936.035422761
"953",2,6,126,29,10428823.9750261
"954",1,3,92,21,5592876.82136284
"955",1,5,73,17,4747021.54970741
"956",1,17,104,24,8078881.27262667
"957",2,1,7,2,0.0982008263734756
"958",1,9,40,10,1509152.57852301
"959",1,18,72,17,4500152.53001517
"960",2,6,39,9,785359.021932641
"961",1,17,113,26,7212040.88810675
"962",1,30,118,27,7751952.8886623
"963",2,16,45,11,1215628.52174197
"964",1,16,66,16,3748599.28260077
"965",2,25,5,2,1.26660341749908e-05
"966",1,20,85,20,4835452.98816249
"967",1,21,70,16,3715437.91021874
"968",2,5,77,18,4985228.77297611
