"","X.1","X","algorithm","replicate","instance","group","result"
"1588",1588,13,2,1,54,13,1595942.61740437
"1589",1589,14,2,1,58,14,2862342.42851583
"1590",1590,15,2,1,62,15,2343031.68282993
"1591",1591,16,2,1,66,16,3885300.35909769
"1592",1592,17,2,1,70,17,3700963.2927872
"1593",1593,18,2,1,74,18,3559171.40746646
"1594",1594,19,2,1,78,19,5524749.82320363
"1595",1595,20,2,1,82,20,4803940.17790402
"1596",1596,21,2,1,86,21,5195367.88530682
"1597",1597,22,2,1,90,22,6278858.3926184
"1598",1598,23,2,1,94,23,6528478.22789679
"1599",1599,24,2,1,98,24,6452708.33403626
"1600",1600,25,2,1,102,25,7356454.79237344
"1601",1601,26,2,1,106,26,8200957.71322341
"1602",1602,27,2,1,110,27,7439745.23091373
"1603",1603,28,2,1,114,28,7530061.05529953
"1604",1604,29,2,1,118,29,8654489.39983785
"1605",1605,30,2,1,122,30,9388983.90585427
"1606",1606,31,2,1,126,31,9540654.64999432
"1607",1607,32,2,1,130,32,9092089.23994889
"1608",1608,33,2,1,134,33,10221182.3275898
"1609",1609,34,2,1,138,34,10938112.3132859
"1610",1610,35,2,1,142,35,10831603.4100232
"1611",1611,1,1,1,6,1,27.3237351425413
"1612",1612,2,1,1,10,2,24881.0411023649
"1613",1613,3,1,1,14,3,81230.4479948848
"1614",1614,4,1,1,18,4,194662.50769948
"1615",1615,5,1,1,22,5,378999.990708451
"1616",1616,6,1,1,26,6,593807.221645679
"1617",1617,7,1,1,30,7,902894.350594264
"1618",1618,8,1,1,34,8,1130236.5252436
"1619",1619,9,1,1,38,9,1729818.11621679
"1620",1620,10,1,1,42,10,2322188.98334877
"1621",1621,11,1,1,46,11,2641842.80182697
"1622",1622,12,1,1,50,12,2705801.07829229
"1623",1623,13,1,1,54,13,1461926.63542428
"1624",1624,14,1,1,58,14,3106459.56353469
"1625",1625,15,1,1,62,15,3033964.4067545
"1626",1626,16,1,1,66,16,4007506.02532889
"1627",1627,17,1,1,70,17,3680534.27110597
"1628",1628,18,1,1,74,18,4389626.3900956
"1629",1629,19,1,1,78,19,4675811.60225839
"1630",1630,20,1,1,82,20,4282332.39709571
"1631",1631,21,1,1,86,21,4936569.32963186
"1632",1632,22,1,1,90,22,6384006.91342568
"1633",1633,23,1,1,94,23,6781457.91257318
"1634",1634,24,1,1,98,24,6228752.35996549
"1635",1635,25,1,1,102,25,7193368.12752784
"1636",1636,26,1,1,106,26,7753407.41791614
"1637",1637,27,1,1,110,27,7218096.62472164
"1638",1638,28,1,1,114,28,6161696.8552422
"1639",1639,29,1,1,118,29,9051424.89778389
"1640",1640,30,1,1,122,30,8373510.44376989
