"Algorithm" "Instance" "Observation"
"372" "algo1" "Inst.133" 34075.0316977482
"373" "algo1" "Inst.133" 23345.7357371901
"374" "algo1" "Inst.133" 15747.228922188
"375" "algo1" "Inst.133" 23816.8046564878
"376" "algo1" "Inst.133" 12612.088141842
"377" "algo1" "Inst.133" 51573.6072423703
"378" "algo1" "Inst.133" 15955.4308381025
"379" "algo1" "Inst.133" 25199.0011076851
"380" "algo1" "Inst.133" 17965.8870517913
"381" "algo1" "Inst.133" 25879.480410134
"382" "algo1" "Inst.133" 39964.6776687155
"383" "algo1" "Inst.133" 10862.3079895462
"384" "algo1" "Inst.133" 40634.1296449518
"385" "algo1" "Inst.133" 26010.0126055355
"386" "algo1" "Inst.133" 11464.8869154998
"387" "algo1" "Inst.133" 13515.8733462681
"388" "algo1" "Inst.133" 27990.5485420142
"389" "algo1" "Inst.133" 45692.522302448
"390" "algo1" "Inst.133" 40329.6003218695
"391" "algo1" "Inst.133" 20050.1424534991
"392" "algo1" "Inst.133" 5227.65702957095
"393" "algo1" "Inst.133" 37064.3128685113
"394" "algo1" "Inst.133" 38935.7533578856
"395" "algo1" "Inst.133" 22065.6070569253
"396" "algo1" "Inst.133" 43964.38102192
"397" "algo1" "Inst.133" 5885.31632859788
"398" "algo1" "Inst.133" 39660.583402351
"399" "algo1" "Inst.133" 12250.8336775103
"400" "algo1" "Inst.133" 20831.5672568915
"401" "algo2" "Inst.133" 8.46821924293259
"402" "algo2" "Inst.133" 79.4043083961334
"403" "algo2" "Inst.133" 66.8335507513555
"404" "algo2" "Inst.133" 250.25551480149
"405" "algo2" "Inst.133" 11.4201842772439
"406" "algo2" "Inst.133" 36.9377728957393
"407" "algo2" "Inst.133" 6.9396954600275
"408" "algo2" "Inst.133" 7.92500668031235
"409" "algo2" "Inst.133" 150.592776101218
"410" "algo2" "Inst.133" 1.07260225715922
"411" "algo2" "Inst.133" 18.2096895938696
"412" "algo2" "Inst.133" 6.93502576169865
"413" "algo2" "Inst.133" 9.26672638315576
"414" "algo2" "Inst.133" 14.4974374503507
"415" "algo2" "Inst.133" 86.8184064979681
"416" "algo2" "Inst.133" 78.8654952031586
"417" "algo2" "Inst.133" 9.75679603066329
"418" "algo2" "Inst.133" 40.7208448536637
"419" "algo2" "Inst.133" 19.5096060132482
"420" "algo2" "Inst.133" 5.86990060649371
"421" "algo1" "Inst.99" 35782.8322707905
"422" "algo1" "Inst.99" 32345.1929887207
"423" "algo1" "Inst.99" 30094.4463131465
"424" "algo1" "Inst.99" 11189.1941224034
"425" "algo1" "Inst.99" 16228.2330657657
"426" "algo1" "Inst.99" 24464.3440932918
"427" "algo1" "Inst.99" 29305.4168819442
"428" "algo1" "Inst.99" 5758.46768297771
"429" "algo1" "Inst.99" 9006.25006538847
"430" "algo1" "Inst.99" 18939.1018303078
"431" "algo1" "Inst.99" 33194.8693664886
"432" "algo1" "Inst.99" 37211.8124396533
"433" "algo1" "Inst.99" 27529.7527620478
"434" "algo1" "Inst.99" 23586.9645159629
"435" "algo1" "Inst.99" 25264.9749430063
"436" "algo1" "Inst.99" 12964.2089956327
"437" "algo1" "Inst.99" 16406.5199600395
"438" "algo1" "Inst.99" 17797.5028767492
"439" "algo1" "Inst.99" 22021.753466543
"440" "algo1" "Inst.99" 18557.6601115161
"441" "algo1" "Inst.99" 44934.730215311
"442" "algo1" "Inst.99" 31817.2404493426
"443" "algo1" "Inst.99" 29640.2459423634
"444" "algo1" "Inst.99" 21737.9787411392
"445" "algo1" "Inst.99" 35152.1911652687
"446" "algo1" "Inst.99" 49587.0978770287
"447" "algo1" "Inst.99" 25491.1413432157
"448" "algo1" "Inst.99" 40730.6404170983
"449" "algo1" "Inst.99" 28904.1331387227
"450" "algo1" "Inst.99" 25760.8606110971
"451" "algo1" "Inst.99" 23114.3225775578
"452" "algo1" "Inst.99" 28974.9594595618
"453" "algo1" "Inst.99" 20229.3705722778
"454" "algo1" "Inst.99" 5374.18970204496
"455" "algo1" "Inst.99" 52531.5361540982
"456" "algo1" "Inst.99" 35379.1120020982
"457" "algo1" "Inst.99" 25119.3893908362
"458" "algo1" "Inst.99" 17474.8181490644
"459" "algo1" "Inst.99" 16540.5185208976
"460" "algo1" "Inst.99" 27395.104416217
"461" "algo2" "Inst.99" 3.45857151101724
"462" "algo2" "Inst.99" 11.3391667039666
"463" "algo2" "Inst.99" 15.4679052562361
"464" "algo2" "Inst.99" 8.95450124025805
"465" "algo2" "Inst.99" 10.7663155352783
"466" "algo2" "Inst.99" 9.87554352194752
"467" "algo2" "Inst.99" 9.58075781016886
"468" "algo2" "Inst.99" 22.5063324450527
"469" "algo2" "Inst.99" 9.39631125713145
"470" "algo2" "Inst.99" 9.66978856772199
"471" "algo2" "Inst.99" 9.57445715742038
"472" "algo2" "Inst.99" 5.88808408699611
"473" "algo2" "Inst.99" 8.28663691847455
"474" "algo2" "Inst.99" 239.46370319339
"475" "algo2" "Inst.99" 8.24428226902836
"476" "algo2" "Inst.99" 111.583648194549
"477" "algo2" "Inst.99" 7.70881622106769
"478" "algo2" "Inst.99" 117.703137765894
"479" "algo2" "Inst.99" 11.0412027753796
"480" "algo2" "Inst.99" 9.39956703894471
"481" "algo1" "Inst.104" 24760.0335308801
"482" "algo1" "Inst.104" 11564.3328740663
"483" "algo1" "Inst.104" 26320.7630223306
"484" "algo1" "Inst.104" 12913.1068794771
"485" "algo1" "Inst.104" 27090.6082098655
"486" "algo1" "Inst.104" 25832.2553296658
"487" "algo1" "Inst.104" 30881.017002446
"488" "algo1" "Inst.104" 21722.9885074284
"489" "algo1" "Inst.104" 17050.8650809804
"490" "algo1" "Inst.104" 39513.7956897415
"491" "algo1" "Inst.104" 22269.5555526408
"492" "algo1" "Inst.104" 36173.7388085016
"493" "algo1" "Inst.104" 22332.8146765214
"494" "algo1" "Inst.104" 43791.371241255
"495" "algo1" "Inst.104" 45449.7115831624
"496" "algo1" "Inst.104" 39776.8170500704
"497" "algo1" "Inst.104" 51965.1957085607
"498" "algo1" "Inst.104" 17749.8193937887
"499" "algo1" "Inst.104" 38417.3087170205
"500" "algo1" "Inst.104" 18887.5514020793
"501" "algo1" "Inst.104" 19457.0217525175
"502" "algo1" "Inst.104" 52957.9748226402
"503" "algo1" "Inst.104" 43602.0723218103
"504" "algo1" "Inst.104" 48388.7136635413
"505" "algo1" "Inst.104" 9029.49041915729
"506" "algo1" "Inst.104" 27541.0224019395
"507" "algo1" "Inst.104" 39756.7007015501
"508" "algo1" "Inst.104" 29502.8686332051
"509" "algo1" "Inst.104" 46069.5730007686
"510" "algo1" "Inst.104" 42194.4783971214
"511" "algo1" "Inst.104" 26617.7324976728
"512" "algo1" "Inst.104" 27261.0344011982
"513" "algo1" "Inst.104" 14592.7701974719
"514" "algo1" "Inst.104" 14944.5982831657
"515" "algo1" "Inst.104" 24810.9576893621
"516" "algo1" "Inst.104" 40206.4607357196
"517" "algo1" "Inst.104" 13233.9773547296
"518" "algo1" "Inst.104" 22061.2215047987
"519" "algo1" "Inst.104" 26649.2364402085
"520" "algo1" "Inst.104" 25603.3820068581
"521" "algo2" "Inst.104" 9.44713591599081
"522" "algo2" "Inst.104" 281.568513633077
"523" "algo2" "Inst.104" 9.29791085989437
"524" "algo2" "Inst.104" 9.95595967259796
"525" "algo2" "Inst.104" 22.0300333678812
"526" "algo2" "Inst.104" 8.8029731248818
"527" "algo2" "Inst.104" 9.621143885261
"528" "algo2" "Inst.104" 39.5464735494635
"529" "algo2" "Inst.104" 90.7238389127427
"530" "algo2" "Inst.104" 7.91545887741722
"531" "algo2" "Inst.104" 18.2023546331829
"532" "algo2" "Inst.104" 9.37160728185299
"533" "algo2" "Inst.104" 9.74461272918501
"534" "algo2" "Inst.104" 16.7054037391214
"535" "algo2" "Inst.104" 12.1078675001849
"536" "algo2" "Inst.104" 5.85220960406531
"537" "algo2" "Inst.104" 9.57455072120205
"538" "algo2" "Inst.104" 10.3746633039605
"539" "algo2" "Inst.104" 45.2127624205861
"540" "algo2" "Inst.104" 13.7490573376206
"541" "algo1" "Inst.91" 20107.6788757039
"542" "algo1" "Inst.91" 8314.72790532274
"543" "algo1" "Inst.91" 31694.0836352256
"544" "algo1" "Inst.91" 21076.2539072736
"545" "algo1" "Inst.91" 32534.0907530151
"546" "algo1" "Inst.91" 13379.2642194705
"547" "algo1" "Inst.91" 22892.8687576153
"548" "algo1" "Inst.91" 33823.4846397681
"549" "algo1" "Inst.91" 22226.236527549
"550" "algo1" "Inst.91" 38511.2561009005
"551" "algo1" "Inst.91" 55692.4513839827
"552" "algo1" "Inst.91" 30671.833703007
"553" "algo1" "Inst.91" 40582.5732045487
"554" "algo1" "Inst.91" 41478.0407568765
"555" "algo1" "Inst.91" 6479.76985445538
"556" "algo1" "Inst.91" 35959.0025442701
"557" "algo1" "Inst.91" 38260.9864147901
"558" "algo1" "Inst.91" 27485.2470950671
"559" "algo1" "Inst.91" 18809.5252936005
"560" "algo1" "Inst.91" 47148.3655354733
"561" "algo1" "Inst.91" 22743.9220155332
"562" "algo1" "Inst.91" 17510.8313411076
"563" "algo1" "Inst.91" 17220.0207411163
"564" "algo1" "Inst.91" 46664.0814800412
"565" "algo1" "Inst.91" 35093.5426957152
"566" "algo1" "Inst.91" 48040.187250906
"567" "algo1" "Inst.91" 40921.8215149379
"568" "algo1" "Inst.91" 30493.1311892395
"569" "algo1" "Inst.91" 31705.0300365284
"570" "algo1" "Inst.91" 3066.77463352374
"571" "algo1" "Inst.91" 12702.636049184
"572" "algo1" "Inst.91" 25893.8547875009
"573" "algo1" "Inst.91" 18004.0352399645
