"","X","algorithm","replicate","instance","group","result"
"497",497,1,23,71,17,4773382.97012875
"498",498,2,11,32,8,667399.000436118
"499",499,2,4,19,5,5349.66354927881
"500",500,1,18,129,30,9444436.01635298
"501",501,2,24,81,19,5800837.73277927
"502",502,1,23,10,3,33445.5487402617
"503",503,1,18,48,11,2710255.57483257
"504",504,2,17,127,29,9758469.76685125
"505",505,1,3,121,28,8124881.9251513
"506",506,2,25,141,33,10766162.4148902
"507",507,1,2,143,33,9468970.21310463
"508",508,2,1,120,28,9642135.29314714
"509",509,2,15,121,28,8396129.1536565
"510",510,2,6,100,23,7442869.00129572
"511",511,2,21,99,23,6432196.65983433
"512",512,2,13,139,32,11314982.5280508
"513",513,2,11,100,23,6556033.2972273
"514",514,2,18,36,9,608454.073167092
"515",515,1,10,102,24,6862805.29955158
"516",516,1,3,39,9,1849741.91268911
"517",517,2,10,60,14,3333117.31408864
"518",518,1,15,23,6,570289.47682338
"519",519,2,17,41,10,919183.92640694
"520",520,2,8,98,23,6983137.52300225
"521",521,1,10,16,4,212896.563394418
"522",522,2,10,88,21,5523191.05213941
"523",523,2,17,87,20,6776245.22739019
"524",524,1,1,118,27,7725554.47458342
"525",525,1,3,24,6,159959.996989133
"526",526,2,9,35,8,704270.634039432
"527",527,1,11,78,18,4783686.43671605
"528",528,1,22,105,24,8032471.68342503
"529",529,1,22,23,6,428205.535964398
"530",530,2,22,135,31,9512891.23523641
"531",531,2,28,71,17,4476090.14131014
"532",532,1,3,107,25,6987538.45577883
"533",533,1,14,107,25,6772530.26029442
"534",534,2,29,57,14,4095683.80393786
"535",535,2,10,84,20,5494504.02162674
"536",536,2,16,51,12,2584956.82355146
"537",537,2,2,105,24,7853371.91774472
"538",538,1,8,126,29,9785825.1464472
"539",539,2,14,124,29,9908939.00883847
"540",540,1,13,60,14,3818159.08349456
"541",541,1,9,35,8,1305707.52294184
"542",542,2,3,124,29,8948385.75667707
"543",543,1,7,78,18,4728332.53968463
"544",544,1,7,91,21,6816839.3526519
"545",545,2,8,64,15,3728762.33234392
"546",546,1,15,149,34,11673302.9920216
"547",547,2,30,116,27,8486105.25738401
"548",548,2,9,11,3,16.0621751708413
"549",549,2,20,58,14,3436120.56120381
"550",550,2,19,93,22,4580854.5173238
"551",551,1,2,121,28,9250603.65454731
"552",552,2,6,55,13,3191068.0784381
"553",553,1,2,59,14,2612076.77956843
"554",554,2,25,143,33,11192659.7508318
"555",555,1,21,118,27,8426938.54145009
"556",556,1,27,74,17,4445644.68698278
"557",557,2,9,33,8,478562.535788265
"558",558,2,5,48,11,1070295.59248659
"559",559,1,25,129,30,9486794.25025043
"560",560,2,17,108,25,6594880.74112343
"561",561,1,3,68,16,4352534.83315455
"562",562,2,27,97,23,6762233.44197185
"563",563,2,24,26,6,179988.692337368
"564",564,1,1,65,15,2479355.95852032
